ticker,earnings_date
# Maintain this file by hand. One row per earnings release. Dates are ISO YYYY-MM-DD.
# The event mask (Layer 1C) reads this file; any ticker with no rows here "fails open"
# (no mask applied) and logs a warning.
# Seeded from yfinance by scripts/seed_earnings_dates.py and then reviewed manually.
AMZN,2003-04-24
AMZN,2003-07-22
AMZN,2003-10-21
AMZN,2004-01-27
AMZN,2004-04-22
AMZN,2004-07-22
AMZN,2004-10-21
AMZN,2005-02-02
AMZN,2005-04-26
AMZN,2005-07-26
AMZN,2005-10-25
AMZN,2006-02-02
AMZN,2006-04-25
AMZN,2006-07-25
AMZN,2006-10-24
AMZN,2007-02-01
AMZN,2007-04-24
AMZN,2007-07-24
AMZN,2007-10-23
AMZN,2008-01-30
AMZN,2008-04-23
AMZN,2008-07-23
AMZN,2008-10-22
AMZN,2009-01-29
AMZN,2009-04-23
AMZN,2009-07-23
AMZN,2009-10-22
AMZN,2010-01-28
AMZN,2010-04-22
AMZN,2010-07-22
AMZN,2010-10-21
AMZN,2011-01-27
AMZN,2011-04-26
AMZN,2011-07-26
AMZN,2011-10-25
AMZN,2012-01-31
AMZN,2012-04-26
AMZN,2012-07-26
AMZN,2012-10-25
AMZN,2013-01-29
AMZN,2013-04-25
AMZN,2013-07-25
AMZN,2013-10-24
AMZN,2014-01-30
AMZN,2014-04-24
AMZN,2014-07-24
AMZN,2014-10-23
AMZN,2015-01-29
AMZN,2015-04-23
AMZN,2015-07-23
AMZN,2015-10-22
AMZN,2016-01-28
AMZN,2016-04-28
AMZN,2016-07-28
AMZN,2016-10-27
AMZN,2017-02-02
AMZN,2017-04-27
AMZN,2017-07-27
AMZN,2017-10-26
AMZN,2018-02-01
AMZN,2018-04-26
AMZN,2018-07-26
AMZN,2018-10-25
AMZN,2019-01-31
AMZN,2019-04-25
AMZN,2019-07-25
AMZN,2019-10-24
AMZN,2020-01-30
AMZN,2020-04-30
AMZN,2020-07-30
AMZN,2020-10-29
AMZN,2021-02-02
AMZN,2021-04-29
AMZN,2021-07-29
AMZN,2021-10-28
AMZN,2022-02-03
AMZN,2022-04-28
AMZN,2022-07-28
AMZN,2022-10-27
AMZN,2023-02-02
AMZN,2023-04-27
AMZN,2023-08-03
AMZN,2023-10-26
AMZN,2024-02-01
AMZN,2024-04-30
AMZN,2024-08-01
AMZN,2024-10-31
AMZN,2025-02-06
AMZN,2025-05-01
AMZN,2025-07-31
AMZN,2025-10-30
AMZN,2026-02-05
AMZN,2026-04-29
AMZN,2026-07-30
AMZN,2026-10-28
COHR,2002-01-16
COHR,2002-04-17
COHR,2002-08-07
COHR,2002-10-16
COHR,2003-01-22
COHR,2003-04-23
COHR,2003-08-06
COHR,2003-10-22
COHR,2004-01-21
COHR,2004-04-21
COHR,2004-08-04
COHR,2004-10-20
COHR,2005-01-19
COHR,2005-04-20
COHR,2005-08-08
COHR,2005-10-19
COHR,2006-01-18
COHR,2006-04-24
COHR,2006-08-07
COHR,2006-10-23
COHR,2007-01-23
COHR,2007-04-24
COHR,2007-08-07
COHR,2007-10-23
COHR,2008-01-22
COHR,2008-04-22
COHR,2008-08-05
COHR,2008-10-21
COHR,2009-01-21
COHR,2009-04-21
COHR,2009-08-04
COHR,2009-10-20
COHR,2010-01-19
COHR,2010-04-27
COHR,2010-08-05
COHR,2010-10-26
COHR,2011-01-25
COHR,2011-04-26
COHR,2011-08-02
COHR,2011-10-25
COHR,2012-01-24
COHR,2012-04-24
COHR,2012-08-02
COHR,2012-10-23
COHR,2013-01-22
COHR,2013-04-23
COHR,2013-08-01
COHR,2013-10-29
COHR,2014-01-28
COHR,2014-05-01
COHR,2014-08-05
COHR,2014-10-28
COHR,2015-01-27
COHR,2015-04-28
COHR,2015-08-04
COHR,2015-10-27
COHR,2016-01-26
COHR,2016-04-26
COHR,2016-08-02
COHR,2016-10-25
COHR,2017-01-24
COHR,2017-05-02
COHR,2017-08-07
COHR,2017-10-31
COHR,2018-02-01
COHR,2018-05-01
COHR,2018-08-07
COHR,2018-11-01
COHR,2019-01-31
COHR,2019-05-01
COHR,2019-08-13
COHR,2019-11-12
COHR,2020-02-10
COHR,2020-05-11
COHR,2020-08-13
COHR,2020-11-05
COHR,2021-02-09
COHR,2021-05-06
COHR,2021-08-10
COHR,2021-11-09
COHR,2022-02-09
COHR,2022-05-10
COHR,2022-08-24
COHR,2022-11-09
COHR,2023-02-08
COHR,2023-05-10
COHR,2023-08-16
COHR,2023-11-07
COHR,2024-02-05
COHR,2024-05-07
COHR,2024-08-15
COHR,2024-11-06
COHR,2025-02-05
COHR,2025-05-07
COHR,2025-08-13
COHR,2025-11-05
COHR,2026-02-04
COHR,2026-05-06
COHR,2026-08-12
COHR,2026-11-04
DELL,2019-03-29
DELL,2019-05-30
DELL,2019-08-29
DELL,2019-11-26
DELL,2020-02-27
DELL,2020-05-28
DELL,2020-08-27
DELL,2020-11-24
DELL,2021-02-25
DELL,2021-05-27
DELL,2021-08-26
DELL,2021-11-23
DELL,2022-02-24
DELL,2022-05-26
DELL,2022-08-25
DELL,2022-11-21
DELL,2023-03-02
DELL,2023-06-01
DELL,2023-08-31
DELL,2023-11-30
DELL,2024-02-29
DELL,2024-05-30
DELL,2024-08-29
DELL,2024-11-26
DELL,2025-02-27
DELL,2025-05-29
DELL,2025-08-28
DELL,2025-11-25
DELL,2026-02-26
DELL,2026-05-28
DELL,2026-09-01
DELL,2026-11-27
GOOGL,2004-10-21
GOOGL,2005-02-01
GOOGL,2005-04-21
GOOGL,2005-07-21
GOOGL,2005-10-20
GOOGL,2006-01-31
GOOGL,2006-04-20
GOOGL,2006-07-20
GOOGL,2006-10-19
GOOGL,2007-01-31
GOOGL,2007-04-19
GOOGL,2007-07-19
GOOGL,2007-10-18
GOOGL,2008-01-31
GOOGL,2008-04-17
GOOGL,2008-07-17
GOOGL,2008-10-16
GOOGL,2009-01-22
GOOGL,2009-04-16
GOOGL,2009-07-16
GOOGL,2009-10-15
GOOGL,2010-01-21
GOOGL,2010-05-05
GOOGL,2010-07-15
GOOGL,2010-10-14
GOOGL,2011-01-20
GOOGL,2011-04-14
GOOGL,2011-07-14
GOOGL,2011-10-13
GOOGL,2012-01-19
GOOGL,2012-04-12
GOOGL,2012-07-19
GOOGL,2012-10-18
GOOGL,2013-01-22
GOOGL,2013-04-18
GOOGL,2013-07-18
GOOGL,2013-10-17
GOOGL,2014-01-30
GOOGL,2014-04-16
GOOGL,2014-07-17
GOOGL,2014-10-16
GOOGL,2015-01-29
GOOGL,2015-04-23
GOOGL,2015-07-16
GOOGL,2015-10-22
GOOGL,2016-02-01
GOOGL,2016-04-21
GOOGL,2016-07-28
GOOGL,2016-10-27
GOOGL,2017-01-26
GOOGL,2017-04-27
GOOGL,2017-07-24
GOOGL,2017-10-26
GOOGL,2018-02-01
GOOGL,2018-04-23
GOOGL,2018-07-23
GOOGL,2018-10-25
GOOGL,2019-02-04
GOOGL,2019-04-29
GOOGL,2019-07-25
GOOGL,2019-10-28
GOOGL,2020-02-03
GOOGL,2020-04-28
GOOGL,2020-07-30
GOOGL,2020-10-29
GOOGL,2021-02-02
GOOGL,2021-04-27
GOOGL,2021-07-27
GOOGL,2021-10-26
GOOGL,2022-02-01
GOOGL,2022-04-26
GOOGL,2022-07-26
GOOGL,2022-10-25
GOOGL,2023-02-02
GOOGL,2023-04-25
GOOGL,2023-07-25
GOOGL,2023-10-24
GOOGL,2024-01-30
GOOGL,2024-04-25
GOOGL,2024-07-23
GOOGL,2024-10-29
GOOGL,2025-02-04
GOOGL,2025-04-24
GOOGL,2025-07-23
GOOGL,2025-10-29
GOOGL,2026-02-04
GOOGL,2026-04-29
GOOGL,2026-07-22
GOOGL,2026-10-28
IREN,2022-02-09
IREN,2022-05-11
IREN,2022-09-13
IREN,2023-02-14
IREN,2023-02-15
IREN,2024-02-15
IREN,2024-05-15
IREN,2024-08-28
IREN,2024-11-26
IREN,2025-02-12
IREN,2025-05-14
IREN,2025-08-28
IREN,2025-11-06
IREN,2026-02-05
IREN,2026-05-08
IREN,2026-08-27
IREN,2026-11-05
LITE,2015-08-12
LITE,2015-11-10
LITE,2016-02-04
LITE,2016-05-04
LITE,2016-08-09
LITE,2016-10-27
LITE,2017-02-07
LITE,2017-05-04
LITE,2017-08-09
LITE,2017-11-01
LITE,2018-02-06
LITE,2018-05-02
LITE,2018-08-08
LITE,2018-11-01
LITE,2019-02-05
LITE,2019-05-07
LITE,2019-08-08
LITE,2019-10-31
LITE,2020-02-04
LITE,2020-05-05
LITE,2020-08-11
LITE,2020-11-02
LITE,2021-02-02
LITE,2021-05-12
LITE,2021-08-18
LITE,2021-11-04
LITE,2022-02-03
LITE,2022-05-04
LITE,2022-08-16
LITE,2022-11-08
LITE,2023-02-09
LITE,2023-05-09
LITE,2023-08-17
LITE,2023-11-08
LITE,2024-02-08
LITE,2024-05-06
LITE,2024-08-14
LITE,2024-11-07
LITE,2025-02-06
LITE,2025-05-06
LITE,2025-08-12
LITE,2025-11-04
LITE,2026-02-03
LITE,2026-05-05
LITE,2026-08-11
LITE,2026-11-05
META,2012-07-26
META,2012-10-23
META,2013-01-30
META,2013-05-01
META,2013-07-24
META,2013-10-30
META,2014-01-29
META,2014-04-23
META,2014-07-23
META,2014-10-28
META,2015-01-28
META,2015-04-22
META,2015-07-29
META,2015-11-04
META,2016-01-27
META,2016-04-27
META,2016-07-27
META,2016-11-02
META,2017-02-01
META,2017-05-03
META,2017-07-26
META,2017-11-01
META,2018-01-31
META,2018-04-25
META,2018-07-25
META,2018-10-30
META,2019-01-30
META,2019-04-24
META,2019-07-24
META,2019-10-30
META,2020-01-29
META,2020-04-29
META,2020-07-30
META,2020-10-29
META,2021-01-27
META,2021-04-28
META,2021-07-28
META,2021-10-25
META,2022-02-02
META,2022-04-27
META,2022-07-27
META,2022-10-26
META,2023-02-01
META,2023-04-26
META,2023-07-26
META,2023-10-25
META,2024-02-01
META,2024-04-24
META,2024-07-31
META,2024-10-30
META,2025-01-29
META,2025-04-30
META,2025-07-30
META,2025-10-29
META,2026-01-28
META,2026-04-29
META,2026-07-29
META,2026-10-28
MSFT,2002-01-17
MSFT,2002-04-18
MSFT,2002-07-18
MSFT,2002-10-17
MSFT,2003-01-16
MSFT,2003-04-15
MSFT,2003-07-17
MSFT,2003-10-23
MSFT,2004-01-22
MSFT,2004-04-22
MSFT,2004-07-22
MSFT,2004-10-21
MSFT,2005-01-27
MSFT,2005-04-28
MSFT,2005-07-21
MSFT,2005-10-27
MSFT,2006-01-26
MSFT,2006-04-27
MSFT,2006-07-20
MSFT,2006-10-26
MSFT,2007-01-25
MSFT,2007-04-26
MSFT,2007-07-19
MSFT,2007-10-25
MSFT,2008-01-24
MSFT,2008-04-24
MSFT,2008-07-17
MSFT,2008-10-23
MSFT,2009-01-22
MSFT,2009-04-23
MSFT,2009-07-23
MSFT,2009-10-23
MSFT,2010-01-28
MSFT,2010-04-22
MSFT,2010-07-22
MSFT,2010-10-28
MSFT,2011-01-27
MSFT,2011-04-28
MSFT,2011-07-21
MSFT,2011-10-20
MSFT,2012-01-19
MSFT,2012-04-19
MSFT,2012-07-19
MSFT,2012-10-18
MSFT,2013-01-24
MSFT,2013-04-18
MSFT,2013-07-18
MSFT,2013-10-24
MSFT,2014-01-23
MSFT,2014-04-24
MSFT,2014-07-22
MSFT,2014-10-23
MSFT,2015-01-26
MSFT,2015-04-23
MSFT,2015-07-21
MSFT,2015-10-22
MSFT,2016-01-28
MSFT,2016-04-21
MSFT,2016-07-19
MSFT,2016-10-20
MSFT,2017-01-26
MSFT,2017-04-27
MSFT,2017-07-20
MSFT,2017-10-26
MSFT,2018-01-31
MSFT,2018-04-26
MSFT,2018-07-19
MSFT,2018-10-24
MSFT,2019-01-30
MSFT,2019-04-24
MSFT,2019-07-18
MSFT,2019-10-23
MSFT,2020-01-29
MSFT,2020-04-29
MSFT,2020-07-22
MSFT,2020-10-27
MSFT,2021-01-26
MSFT,2021-04-27
MSFT,2021-07-27
MSFT,2021-10-26
MSFT,2022-01-25
MSFT,2022-04-26
MSFT,2022-07-26
MSFT,2022-10-25
MSFT,2023-01-24
MSFT,2023-04-25
MSFT,2023-07-25
MSFT,2023-10-24
MSFT,2024-01-30
MSFT,2024-04-25
MSFT,2024-07-30
MSFT,2024-10-30
MSFT,2025-01-29
MSFT,2025-04-30
MSFT,2025-07-30
MSFT,2025-10-29
MSFT,2026-01-28
MSFT,2026-04-29
MSFT,2026-07-29
MSFT,2026-10-27
MU,2001-12-18
MU,2002-03-21
MU,2002-06-25
MU,2002-09-24
MU,2002-12-17
MU,2003-03-20
MU,2003-06-18
MU,2003-09-24
MU,2003-12-23
MU,2004-03-24
MU,2004-06-23
MU,2004-09-29
MU,2004-12-22
MU,2005-03-29
MU,2005-06-23
MU,2005-09-29
MU,2005-12-21
MU,2006-04-10
MU,2006-06-28
MU,2006-10-05
MU,2006-12-21
MU,2007-04-04
MU,2007-06-28
MU,2007-10-02
MU,2007-12-20
MU,2008-04-02
MU,2008-06-26
MU,2008-10-01
MU,2008-12-23
MU,2009-04-02
MU,2009-06-25
MU,2009-09-29
MU,2009-12-22
MU,2010-03-31
MU,2010-06-28
MU,2010-10-07
MU,2010-12-22
MU,2011-03-23
MU,2011-06-23
MU,2011-09-29
MU,2011-12-21
MU,2012-03-22
MU,2012-06-20
MU,2012-09-27
MU,2012-12-20
MU,2013-03-21
MU,2013-06-19
MU,2013-10-10
MU,2014-01-07
MU,2014-04-03
MU,2014-06-23
MU,2014-09-25
MU,2015-01-06
MU,2015-04-01
MU,2015-06-25
MU,2015-10-01
MU,2015-12-22
MU,2016-03-30
MU,2016-06-30
MU,2016-10-04
MU,2016-12-21
MU,2017-03-23
MU,2017-06-29
MU,2017-09-26
MU,2017-12-19
MU,2018-03-22
MU,2018-06-20
MU,2018-09-20
MU,2018-12-18
MU,2019-03-20
MU,2019-06-25
MU,2019-09-26
MU,2019-12-18
MU,2020-03-25
MU,2020-06-29
MU,2020-09-29
MU,2021-01-07
MU,2021-03-31
MU,2021-06-30
MU,2021-09-28
MU,2021-12-20
MU,2022-03-29
MU,2022-06-30
MU,2022-09-29
MU,2022-12-21
MU,2023-03-28
MU,2023-06-28
MU,2023-09-27
MU,2023-12-20
MU,2024-03-20
MU,2024-06-26
MU,2024-09-25
MU,2024-12-18
MU,2025-03-20
MU,2025-06-25
MU,2025-09-23
MU,2025-12-17
MU,2026-03-18
MU,2026-06-24
MU,2026-09-30
NBIS,2011-07-28
NBIS,2011-10-27
NBIS,2012-02-22
NBIS,2012-04-26
NBIS,2012-07-31
NBIS,2012-10-30
NBIS,2013-02-19
NBIS,2013-04-25
NBIS,2013-07-25
NBIS,2013-10-24
NBIS,2014-02-20
NBIS,2014-04-24
NBIS,2014-07-29
NBIS,2014-10-23
NBIS,2015-02-18
NBIS,2015-04-28
NBIS,2015-07-30
NBIS,2015-10-27
NBIS,2016-02-16
NBIS,2016-04-28
NBIS,2016-07-28
NBIS,2016-10-27
NBIS,2017-02-16
NBIS,2017-04-27
NBIS,2017-07-28
NBIS,2017-10-24
NBIS,2018-02-15
NBIS,2018-04-25
NBIS,2018-07-26
NBIS,2018-10-29
NBIS,2019-02-15
NBIS,2019-04-25
NBIS,2019-07-26
NBIS,2019-10-25
NBIS,2020-02-14
NBIS,2020-04-28
NBIS,2020-07-28
NBIS,2020-10-28
NBIS,2021-02-16
NBIS,2021-04-28
NBIS,2021-07-28
NBIS,2021-10-27
NBIS,2022-02-15
NBIS,2022-04-27
NBIS,2022-11-03
NBIS,2025-02-20
NBIS,2025-05-20
NBIS,2025-08-07
NBIS,2025-11-11
NBIS,2026-02-12
NBIS,2026-05-13
NBIS,2026-08-12
NBIS,2026-11-10
NVDA,2002-05-22
NVDA,2002-08-15
NVDA,2002-11-07
NVDA,2003-02-13
NVDA,2003-05-08
NVDA,2003-08-07
NVDA,2003-11-06
NVDA,2004-02-12
NVDA,2004-05-06
NVDA,2004-08-05
NVDA,2004-11-04
NVDA,2005-02-17
NVDA,2005-05-12
NVDA,2005-08-11
NVDA,2005-11-09
NVDA,2006-02-16
NVDA,2006-05-11
NVDA,2006-11-09
NVDA,2007-02-13
NVDA,2007-05-10
NVDA,2007-08-09
NVDA,2007-11-08
NVDA,2008-02-13
NVDA,2008-05-08
NVDA,2008-08-12
NVDA,2008-11-06
NVDA,2009-02-10
NVDA,2009-05-07
NVDA,2009-08-06
NVDA,2009-11-05
NVDA,2010-02-17
NVDA,2010-05-13
NVDA,2010-08-12
NVDA,2010-11-11
NVDA,2011-02-16
NVDA,2011-05-12
NVDA,2011-08-11
NVDA,2011-11-10
NVDA,2012-02-15
NVDA,2012-05-11
NVDA,2012-08-09
NVDA,2012-11-08
NVDA,2013-02-13
NVDA,2013-05-09
NVDA,2013-08-08
NVDA,2013-11-07
NVDA,2014-02-12
NVDA,2014-05-08
NVDA,2014-08-07
NVDA,2014-11-06
NVDA,2015-02-11
NVDA,2015-05-07
NVDA,2015-08-06
NVDA,2015-11-05
NVDA,2016-02-17
NVDA,2016-05-12
NVDA,2016-08-11
NVDA,2016-11-10
NVDA,2017-02-09
NVDA,2017-05-09
NVDA,2017-08-10
NVDA,2017-11-09
NVDA,2018-02-08
NVDA,2018-05-10
NVDA,2018-08-16
NVDA,2018-11-15
NVDA,2019-02-14
NVDA,2019-05-16
NVDA,2019-08-15
NVDA,2019-11-14
NVDA,2020-02-13
NVDA,2020-05-21
NVDA,2020-08-19
NVDA,2020-11-18
NVDA,2021-02-24
NVDA,2021-05-26
NVDA,2021-08-18
NVDA,2021-11-17
NVDA,2022-02-16
NVDA,2022-05-25
NVDA,2022-08-24
NVDA,2022-11-16
NVDA,2023-02-22
NVDA,2023-05-24
NVDA,2023-08-23
NVDA,2023-11-21
NVDA,2024-02-21
NVDA,2024-05-22
NVDA,2024-08-28
NVDA,2024-11-20
NVDA,2025-02-26
NVDA,2025-05-28
NVDA,2025-08-27
NVDA,2025-11-19
NVDA,2026-02-25
NVDA,2026-05-20
NVDA,2026-08-26
NVDA,2026-11-17
